"","coef(group_low)","exp(coef)(group_low)","p-value(group_low)","fdr(group_low)","coef(stageii)","exp(coef)(stageii)","p-value(stageii)","fdr(stageii)","coef(stageiii)","exp(coef)(stageiii)","p-value(stageiii)","fdr(stageiii)","coef(stageiv)","exp(coef)(stageiv)","p-value(stageiv)","fdr(stageiv)","coef(age>65)","exp(coef)(age>65)","p-value(age>65)","fdr(age>65)","coef(gendermale)","exp(coef)(gendermale)","p-value(gendermale)","fdr(gendermale)"
"MUC5B",0.095,1.1,0.704,1,-0.0652,0.937,0.825,1,0.572,1.77,0.0585,0.38,1.66,5.24,0.0275,0.358,0.11,1.12,0.649,1,-0.189,0.828,0.499,1
"HABP2",-0.317,0.728,0.269,1,-0.039,0.962,0.904,1,0.205,1.23,0.57,1,1.22,3.4,0.102,1,0.212,1.24,0.458,1,0.419,1.52,0.203,1
"ICA1",-0.86,0.423,0.000766,0.00996,-0.178,0.837,0.507,1,0.459,1.58,0.185,0.802,-14.1,7.21e-07,0.997,1,-0.0469,0.954,0.852,1,0.446,1.56,0.149,0.802
"ITGA6",-0.025,0.975,0.92,1,-0.101,0.904,0.74,1,0.447,1.56,0.157,0.979,0.904,2.47,0.226,0.979,0.397,1.49,0.121,0.979,0.0385,1.04,0.896,1
"CSTA",0.503,1.65,0.0463,0.541,-0.0361,0.965,0.903,1,0.517,1.68,0.0832,0.541,0.793,2.21,0.439,1,0.027,1.03,0.912,1,0.435,1.54,0.141,0.611
"FZD7",-0.04,0.961,0.866,1,0.0884,1.09,0.767,1,0.427,1.53,0.139,0.904,1.55,4.7,0.0369,0.48,0.299,1.35,0.22,0.953,0.0655,1.07,0.808,1
"ALDOC",0.426,1.53,0.0971,0.421,-0.105,0.9,0.728,1,0.526,1.69,0.0875,0.421,1.6,4.95,0.0108,0.14,0.0568,1.06,0.817,1,-0.0521,0.949,0.86,1
"AQP5",0.454,1.58,0.0678,0.299,-0.124,0.884,0.684,1,0.428,1.53,0.155,0.504,1.71,5.53,0.0226,0.294,0.453,1.57,0.069,0.299,0.314,1.37,0.257,0.668
"ARSE",-0.162,0.851,0.538,1,0.441,1.55,0.137,0.594,0.808,2.24,0.0202,0.263,1.15,3.14,0.269,0.848,0.469,1.6,0.0824,0.536,0.297,1.35,0.326,0.848
"FABP5",0.281,1.32,0.235,0.673,-0.347,0.707,0.203,0.673,0.451,1.57,0.14,0.673,1.17,3.22,0.259,0.673,0.361,1.44,0.127,0.673,0.0921,1.1,0.741,1
"SLC2A9",0.568,1.76,0.0313,0.407,-0.218,0.804,0.48,1,0.356,1.43,0.263,0.855,1.37,3.93,0.0726,0.472,0.01,1.01,0.969,1,0.386,1.47,0.245,0.855
"AGR2",0.18,1.2,0.471,1,0.616,1.85,0.0371,0.241,0.725,2.06,0.027,0.241,1.25,3.47,0.097,0.348,0.415,1.52,0.108,0.348,0.496,1.64,0.134,0.348
"SPDEF",0.0353,1.04,0.888,1,0.0262,1.03,0.927,1,0.394,1.48,0.281,1,1.26,3.53,0.0409,0.532,0.438,1.55,0.0891,0.579,0.174,1.19,0.574,1
