,logFC,logCPM,LR,PValue,FDR,direction
KIF23,4.19856561120865,5.52986469360513,910.562866950523,4.9612963943169e-200,3.48947903562805e-196,up
CDCA5,4.38306617979416,5.70444374053446,910.412053447387,5.350320508476e-200,3.48947903562805e-196,up
EXO1,5.29276115388959,4.36301083650382,893.36250755066,2.72105759578671e-196,1.18311584264806e-192,up
KIF4A,5.04438211738038,5.42593904422496,885.267372248873,1.56511495730553e-194,5.10383987577332e-191,up
NEK2,5.1461908290293,4.89361799359617,879.951513742009,2.23962424648212e-193,5.84273173422255e-190,up
KANK3,-4.00192783704242,3.33485281860896,867.766958226156,9.97788970548274e-191,2.16919322197195e-187,down
TTK,5.25633342514801,5.06972038132736,858.51471333725,1.0243785361145e-188,1.90885623215393e-185,up
HJURP,5.35859013946609,5.18347287801521,848.36568033705,1.64767401821123e-186,2.68653248669341e-183,up
TROAP,5.36191110192994,4.90727244665751,843.753738183917,1.6577640462649e-185,2.40265269105326e-182,up
CENPA,5.33255014865371,4.11977458267702,831.273770825079,8.56527537246378e-183,1.11725451958418e-179,up
NCAPH,4.63187400958995,5.31042100268717,824.717580982884,2.28094676488081e-181,2.70478814555503e-178,up
CCNB2,4.68673996903408,5.69765477761866,818.585117160613,4.91337069887486e-180,5.34083394967697e-177,up
ACVRL1,-3.61873952558633,5.56652037766888,811.308973840459,1.87632485463113e-178,1.88267549260065e-175,down
RAD54L,4.9299159297801,4.27881448091729,802.820844567295,1.31449845161014e-176,1.22473698591447e-173,up
UBE2C,5.1077459034259,5.8794781408194,798.434741764217,1.18134529208111e-175,1.02729786599373e-172,up
PLK1,4.63236343495107,5.63028406658149,790.908887893287,5.11265632448223e-174,4.16809306853414e-171,up
LDB2,-3.75559615612311,4.29802726416763,784.98767710574,9.90943465788736e-173,7.60345092220487e-170,down
DEPDC1,4.96978809994765,4.69684251972151,780.972910006506,7.39528789698995e-172,5.35911862935205e-169,up
KIF2C,4.61064899524508,5.45621369896809,771.275289523733,9.4945185187969e-170,6.51823681890457e-167,up
NUF2,5.07430683541814,4.84028093023653,768.36854701234,4.06894542871253e-169,2.65376620860632e-166,up
KIF14,5.36244765481942,4.46245505381548,767.622856331416,5.91039946352775e-169,3.67120240963124e-166,up
PRC1,4.13482202862348,6.64485649940283,763.940871327811,3.73414420797789e-168,2.21400804767562e-165,up
SH2D3C,-3.44112733438138,4.96605124588104,763.182260106931,5.45929543792563e-168,3.09613259531747e-165,down
CKAP2L,4.72291786308806,4.26035913708449,758.500957387046,5.68854430120414e-167,3.09172382770445e-164,up
KIF18B,5.45805774031163,4.81966930856725,758.005983264011,7.28827562316566e-167,3.80273068914291e-164,up
BUB1B,4.88497991040877,5.29258922368505,757.165184143417,1.11030517525013e-166,5.57031565613952e-164,up
UBE2T,4.21816605408192,4.97633617595078,752.641818594827,1.06899687023907e-165,5.16444265755497e-163,up
TPX2,4.90417368585073,7.33274309729089,750.628499440427,2.92916100296139e-165,1.36457057580816e-162,up
TFAP2A,5.80557807803928,5.68761944850214,743.301250894201,1.14804649344572e-163,5.16383395189862e-161,up
KIF11,3.90190599285031,5.8399012918435,742.109037642623,2.08541711643136e-163,9.06739362224353e-161,up
FAM83B,7.62935007347822,5.01902812050433,734.254505194456,1.06435698823716e-161,4.47853953373082e-159,up
E2F7,5.42830020878236,4.43932710346552,729.564635261615,1.11395405511636e-160,4.54075521716808e-158,up
POLQ,5.38321947543457,4.49198091966297,728.068841546155,2.35569579521229e-160,9.31142301598456e-158,up
ARHGEF15,-3.69233897278448,3.7022893114482,720.077473965768,1.28769397497514e-158,4.94020006163992e-156,down
ESAM,-3.36230601384719,5.42873103465779,717.978292276639,3.68363321405362e-158,1.37283747554616e-155,down
CDC6,4.71462603545272,5.64063784943245,715.786325803694,1.10387010166528e-157,3.99968933503387e-155,up
BIRC5,5.32530389486047,5.52519393228977,714.725931599901,1.87715736357295e-157,6.61774071633665e-155,up
GINS1,4.31474589627579,5.12933735524224,707.143867163368,8.36054261327328e-156,2.8483801091882e-153,up
CDC20,4.71695957758385,6.20898751870904,707.106998141693,8.51631587383776e-156,2.8483801091882e-153,up
AURKA,3.74424163219343,5.41697267644339,705.992145937092,1.48826583243928e-155,4.8532348795845e-153,up
ROBO4,-3.90120139545537,5.08229814959862,705.50424889638,1.90009669769584e-155,6.04508812798646e-153,down
CCNB1,3.75377281893215,6.28014147145147,703.72125396051,4.63976589517626e-155,1.44097872230189e-152,up
SNRK,-1.91585593846092,5.43830912042593,700.875812181019,1.92864905987658e-154,5.85053449698373e-152,down
CDCA3,4.74412866196762,4.51111548131942,700.204193616283,2.69960933050104e-154,8.00311456978536e-152,up
SKA3,4.59875806858935,3.88153276187207,694.173998022647,5.52858624694317e-153,1.60255286678059e-150,up
SKA1,4.88965811028375,4.01204309690685,690.99291110179,2.71877240085232e-152,7.70949286885167e-150,up
CDC45,5.65893018086185,5.0532429386342,688.521933786044,9.36945707374479e-152,2.60032336318994e-149,up
GTSE1,4.63813112507114,4.5467222933333,687.594848180996,1.49045972686273e-151,4.05032430774947e-149,up
SLC9A3R2,-2.92815661060118,6.2624244453807,686.897523782113,2.11330416977402e-151,5.6257019572515e-149,down
CDH5,-3.76029682994361,5.95995314565968,682.65351141442,1.76961786902707e-150,4.61657909671781e-148,down
HSD17B6,-4.59626100170881,3.99632573997353,677.525092303085,2.30746035056665e-149,5.90166917897871e-147,down
ESPL1,4.33589350661879,4.73652450550626,673.200589613202,2.01175197097461e-148,5.04640244411402e-146,up
RAMP2,-3.60447615388518,4.3309616783527,672.66627280693,2.62888606587638e-148,6.47003581948896e-146,down
ASPM,4.9609775379944,5.5927994071695,669.145708538654,1.53245837895799e-147,3.70173835094963e-145,up
MYCT1,-3.39105125593288,3.32689689256592,669.1079985043,1.56167090602372e-147,3.7037155087588e-145,down
CLEC3B,-5.18110996994802,5.37300008366829,668.338320014202,2.2960020286252e-147,5.3480447252477e-145,down
RAD51,4.14634841160018,4.12860104130282,655.788165551205,1.23114082673632e-144,2.81736858665764e-142,up
AURKB,5.14637689750958,4.87215762148663,653.399550334271,4.07172939002458e-144,9.15717899370356e-142,up
SLC2A1,6.09998753346266,10.164951984418,652.274891979984,7.15102527317872e-144,1.58098260446344e-141,up
MAD2L1,3.84831793766064,5.46158595965279,650.997096914201,1.35600875594611e-143,2.94796303542684e-141,up
