"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-372790","Signaling by GPCR","77/646","446/7686",3.59521610882679e-10,3.94035685527416e-07,3.58007835678962e-07,"ADCY9/ADORA2A/AGTR2/AKAP13/APLN/APLNR/ARHGEF10/ARHGEF17/ARHGEF2/ARHGEF3/ARRB1/C3/C5/CCL13/CCL20/CCR2/CCR5/CCR6/CD55/CNR1/CXCL12/CXCL16/CXCL5/CXCR3/CXCR6/CYP4V2/EDN1/FFAR2/FGD4/FPR3/FZD4/FZD5/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GPR132/GPR183/GPR39/GPSM3/ITPR1/PLPPR3/LRP2/MGLL/P2RY14/PDE3B/PDE4A/PDE4B/PDE4D/PDE7B/PDE8B/PIK3CG/PLCB2/PPP1R1B/PRKAR2B/PRKCB/PRKCD/PTGER2/PTGFR/PTGIR/REEP5/RGS11/RGS2/RGS3/RGS5/RGS9/RHOB/RPS6KA2/SCTR/SDC4/SHH/TBXA2R/TRPC6/VAV1/WNT2",77
"R-HSA-388396","GPCR downstream signalling","71/646","404/7686",8.41896802230838e-10,4.61359447622499e-07,4.19175986794933e-07,"ADCY9/ADORA2A/AGTR2/AKAP13/APLN/APLNR/ARHGEF10/ARHGEF17/ARHGEF2/ARHGEF3/ARRB1/C3/C5/CCL13/CCL20/CCR2/CCR5/CCR6/CNR1/CXCL12/CXCL16/CXCL5/CXCR3/CXCR6/CYP4V2/EDN1/FFAR2/FGD4/FPR3/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GPR132/GPR183/GPR39/GPSM3/ITPR1/LRP2/MGLL/P2RY14/PDE3B/PDE4A/PDE4B/PDE4D/PDE7B/PDE8B/PIK3CG/PLCB2/PPP1R1B/PRKAR2B/PRKCB/PRKCD/PTGER2/PTGFR/PTGIR/REEP5/RGS11/RGS2/RGS3/RGS5/RGS9/RHOB/RPS6KA2/SCTR/SDC4/TBXA2R/TRPC6/VAV1",71
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","26/646","86/7686",3.79482375408644e-09,1.38637561149291e-06,1.25961518293536e-06,"B2M/C3/CD1C/CD22/CD34/CD3D/CD3E/CD3G/CD81/CD8A/CD96/HLA-B/HLA-C/HLA-F/HLA-G/ICAM1/ICAM3/ICAM4/ICAM5/LILRB5/NPDC1/SELL/SH2D1A/SIGLEC8/SLAMF6/TREM1",26
"R-HSA-109582","Hemostasis","76/646","477/7686",1.94262104049362e-08,5.32278165095251e-06,4.83610395870253e-06,"A2M/ARRB1/ATP1B2/ATP2A3/CABLES1/CD2/CD47/CD48/CD74/CD84/CEACAM6/CLU/DOCK10/DOCK9/F5/FGA/FGG/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/GUCY1A2/GUCY1A1/HGF/JCHAIN/INPP5D/ITGA1/ITGA10/ITGA2B/ITIH4/ITPR1/JAK2/KCNMB1/KIF13B/KIF19/KIF1C/KIF9/LAT/LCK/MGLL/ORM1/PDE3B/PDE5A/PDGFB/PHACTR2/PIK3CG/PRKAR2B/PRKCB/PRKCD/PRKCZ/PRKG1/PTGIR/PTPN6/QSOX1/RAPGEF3/RHOB/SDC4/SELL/SERPINA1/SERPINB6/SERPINF2/SH2B3/SLC8A1/TBXA2R/TFPI/TGFB2/THBS1/TLN1/TREM1/TRPC6/TSPAN7/TTN/VAV1/ZFPM2",76
"R-HSA-977606","Regulation of Complement cascade","12/646","28/7686",9.70859040849499e-07,0.00021281230175421,0.000193354242661816,"C2/C3/C4BPA/C5/C6/C7/CD55/CD81/CFI/CLU/CPB2/CR1",12
"R-HSA-76002","Platelet activation, signaling and aggregation","39/646","213/7686",2.27819750009522e-06,0.000416150743350727,0.000378100848261417,"A2M/ARRB1/CLU/F5/FGA/FGG/GNA14/GNAI2/GNAQ/GNG11/GNG2/GNG7/HGF/ITGA2B/ITIH4/ITPR1/LAT/LCK/MGLL/ORM1/PDGFB/PHACTR2/PIK3CG/PRKCB/PRKCD/PRKCZ/PTPN6/QSOX1/RAPGEF3/RHOB/SERPINA1/SERPINF2/TBXA2R/TGFB2/THBS1/TLN1/TRPC6/TTN/VAV1",39
"R-HSA-397014","Muscle contraction","28/646","131/7686",2.9486515592647e-06,0.000445476807430591,0.000404745543439626,"ABCC9/ACTG2/ANXA6/ATP1A2/ATP1B2/ATP2A3/CACNA1C/CACNA1D/DYSF/FGF14/ITGA1/ITPR1/KCNE1/KCNK3/KCNK5/KCNQ1/LMOD1/MYH11/PLN/RYR2/SCN1A/SLC8A1/SORBS3/TBX5/TLN1/TNNI2/TNNT2/TTN",28
"R-HSA-500792","GPCR ligand binding","38/646","208/7686",3.25165552869044e-06,0.000445476807430591,0.000404745543439626,"ADORA2A/AGTR2/APLN/APLNR/C3/C5/CCL13/CCL20/CCR2/CCR5/CCR6/CD55/CNR1/CXCL12/CXCL16/CXCL5/CXCR3/CXCR6/EDN1/FFAR2/FPR3/FZD4/FZD5/GNG11/GNG2/GNG7/GPR132/GPR183/GPR39/PLPPR3/P2RY14/PTGER2/PTGFR/PTGIR/SCTR/SHH/TBXA2R/WNT2",38
"R-HSA-418594","G alpha (i) signalling events","39/646","221/7686",5.78173656863555e-06,0.000704087031024952,0.000639710268295817,"ADCY9/AGTR2/APLN/APLNR/C3/C5/CCL13/CCL20/CCR2/CCR5/CCR6/CNR1/CXCL12/CXCL16/CXCL5/CXCR3/CXCR6/CYP4V2/FPR3/GNAI2/GNG11/GNG2/GNG7/GPR183/GPSM3/ITPR1/LRP2/P2RY14/PDE4A/PDE4B/PDE4D/PLCB2/PPP1R1B/PRKAR2B/PRKCD/RGS11/RGS5/RGS9/SDC4",39
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","29/646","147/7686",1.04731885699395e-05,0.00108747725401984,0.000988045987613109,"ADORA2A/AGTR2/APLN/APLNR/C3/C5/CCL13/CCL20/CCR2/CCR5/CCR6/CNR1/CXCL12/CXCL16/CXCL5/CXCR3/CXCR6/EDN1/FFAR2/FPR3/GPR132/GPR183/GPR39/PLPPR3/P2RY14/PTGER2/PTGFR/PTGIR/TBXA2R",29
"R-HSA-166658","Complement cascade","12/646","34/7686",1.0914461491075e-05,0.00108747725401984,0.000988045987613109,"C2/C3/C4BPA/C5/C6/C7/CD55/CD81/CFI/CLU/CPB2/CR1",12
