"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6805567","Keratinization","44/897","74/7686",5.05940640523939e-23,3.29114386660823e-20,3.05428376147873e-20,"CASP14/CDSN/CSTA/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/FLG/JUP/KLK14/KLK5/KRT1/KRT10/KRT13/KRT14/KRT19/KRT20/KRT23/KRT24/KRT31/KRT33A/KRT5/KRT74/KRT75/KRT77/KRT78/KRT79/LCE3D/PERP/PI3/RPTN/SPRR1A/SPRR2A/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/TCHH/TGM1/TGM5",44
"R-HSA-6809371","Formation of the cornified envelope","44/897","74/7686",5.05940640523939e-23,3.29114386660823e-20,3.05428376147873e-20,"CASP14/CDSN/CSTA/DSC1/DSC2/DSC3/DSG1/DSG2/DSG3/FLG/JUP/KLK14/KLK5/KRT1/KRT10/KRT13/KRT14/KRT19/KRT20/KRT23/KRT24/KRT31/KRT33A/KRT5/KRT74/KRT75/KRT77/KRT78/KRT79/LCE3D/PERP/PI3/RPTN/SPRR1A/SPRR2A/SPRR2B/SPRR2D/SPRR2E/SPRR2F/SPRR2G/SPRR3/TCHH/TGM1/TGM5",44
"R-HSA-69190","DNA strand elongation","14/897","31/7686",3.07557307301724e-06,0.00133377352266515,0.00123778326833361,"FEN1/GINS3/LIG1/MCM3/MCM5/MCM6/MCM7/PCNA/POLA2/POLD2/PRIM1/RFC2/RFC3/RFC5",14
"R-HSA-73886","Chromosome Maintenance","20/897","65/7686",2.94136438629209e-05,0.00956678766641503,0.00887827618704481,"CENPH/CENPM/CENPN/CENPP/CENPQ/CENPW/FEN1/H2AFX/H2AFZ/HIST1H2BH/LIG1/PCNA/POLA2/POLD2/POLE/PRIM1/RFC2/RFC3/RFC5/RUVBL1",20
"R-HSA-69278","Cell Cycle, Mitotic","78/897","436/7686",5.5438411226388e-05,0.0144250746011062,0.0133869174056141,"CCNA1/CDC7/CDK4/CDK6/CENPH/CENPM/CENPN/CENPP/CENPQ/CEP152/CEP250/CEP76/CKAP5/CSNK2A1/DBF4/DHFR/DSN1/FBXO5/FEN1/FGFR1OP/FKBPL/GINS3/H2AFX/H2AFZ/HAUS5/HAUS8/HDAC1/HIST1H2BH/KIF18A/LIG1/LIN9/LPIN3/MASTL/MCM3/MCM5/MCM6/MCM7/MNAT1/NCAPD2/NCAPD3/NUP107/NUP205/NUP37/NUP43/PCNA/POLA2/POLD2/POLE/PPME1/PPP2R3B/PRIM1/PSMC4/PSMD11/PSMD12/PSMD2/PSME4/RAE1/RANGAP1/RCC2/RFC2/RFC3/RFC5/KMT5A/SGO2/SEM1/SKP2/SMC2/SMC4/SPC24/TFDP1/TFDP2/TUBA1C/TUBA4A/TUBB/TUBG1/VRK1/XPO1/ZWILCH",78
"R-HSA-500792","GPCR ligand binding","43/897","208/7686",0.000111386210055645,0.0158994027791486,0.0147551397610611,"ADM/ADORA2B/ADRA2B/CCL28/CHRM3/CXCL13/CXCL6/DRD2/FZD10/FZD6/FZD7/GNB3/GPR143/GRM1/GRM4/GRP/HTR2C/HTR7/LPAR2/LPAR3/LPAR5/LTB4R/NMB/NPBWR1/NTS/OPRK1/OXGR1/P2RY1/P2RY2/POMC/PTCH2/PTH2R/QRFPR/S1PR5/SMO/UCN2/WNT10A/WNT10B/WNT16/WNT2B/WNT4/WNT5A/WNT7B",43
"R-HSA-180786","Extension of Telomeres","11/897","27/7686",0.000114068729919084,0.0158994027791486,0.0147551397610611,"FEN1/LIG1/PCNA/POLA2/POLD2/POLE/PRIM1/RFC2/RFC3/RFC5/RUVBL1",11
"R-HSA-70263","Gluconeogenesis","11/897","27/7686",0.000114068729919084,0.0158994027791486,0.0147551397610611,"ALDOA/ALDOC/ENO1/ENO2/GAPDH/GOT2/GPI/PGAM1/PGK1/SLC25A13/TPI1",11
"R-HSA-69186","Lagging Strand Synthesis","9/897","19/7686",0.000119965236235093,0.0158994027791486,0.0147551397610611,"FEN1/LIG1/PCNA/POLA2/POLD2/PRIM1/RFC2/RFC3/RFC5",9
"R-HSA-174417","Telomere C-strand (Lagging Strand) Synthesis","10/897","23/7686",0.000122209091307829,0.0158994027791486,0.0147551397610611,"FEN1/LIG1/PCNA/POLA2/POLD2/POLE/PRIM1/RFC2/RFC3/RFC5",10
