,logFC,t,P.Value,adj.P.Val,B,direction
KANK3,-3.27363855651687,-26.3208112366306,5.65242526730724e-25,7.37302351867556e-21,46.9119429249867,down
SLC6A4,-8.18230683945805,-24.8252386501753,4.10711067781014e-24,2.67865758406778e-20,44.6123670271693,down
RTKN2,-4.86212366510205,-23.193775725345,4.05153606696054e-23,1.05696472914867e-19,42.7080687635552,down
ACTN2,-3.69332246413193,-23.5472163719127,2.43851093866537e-23,1.05696472914867e-19,42.4144211233518,down
XDH,4.47929087787965,22.8582287664002,6.60240254643565e-23,1.23031055451009e-19,42.1846060546794,up
FAM83A,6.67618285112479,22.9812418522686,5.51615537153581e-23,1.19921217777189e-19,42.14183823261,up
STX11,-3.67573065121537,-22.6872632480332,8.48812466394325e-23,1.38398872645595e-19,41.974286583925,down
FOLR3,-5.24881759170706,-23.2130241365199,3.94035759711439e-23,1.05696472914867e-19,41.8899075401197,down
USHBP1,-2.89696058830224,-22.1881592528185,1.78441254038767e-22,2.58620857520186e-19,41.0875195017048,down
SPOCK2,-4.20459544531646,-21.8632341426756,2.91725945853108e-22,3.80527323770794e-19,40.7428950602867,down
GPIHBP1,-4.15063531438125,-21.454147143087,5.46620446294444e-22,5.48433368036421e-19,40.1148816159785,down
NCKAP5,-4.07667308808079,-21.3953635654428,5.98742860129361e-22,5.48433368036421e-19,40.0259677200955,down
CFP,-2.4929178565012,-21.3770845683835,6.15969226258377e-22,5.48433368036421e-19,39.9688696266317,down
GYPC,-2.05635969594871,-21.2827418712265,7.13317868742771e-22,5.81532392492544e-19,39.8416096632698,down
CDO1,-3.34073089533235,-21.0713604950489,9.92991294580612e-22,7.61916379206441e-19,39.3897320679479,down
PTPRQ,-4.85775118195651,-21.3618923144586,6.30673146316031e-22,5.48433368036421e-19,39.3329365822015,down
ADRB2,-3.43616419691297,-20.8533177431706,1.40098178597926e-21,9.17641468994709e-19,39.1826914639508,down
MFNG,-2.15852077658347,-20.8344732982823,1.44349243052404e-21,9.17641468994709e-19,39.1414673154928,down
HTR3A,6.09624016709793,21.4478844561924,5.51944601875174e-22,5.48433368036421e-19,39.0420148942677,up
EDNRB,-3.84207018209198,-20.7491742366105,1.65311414824883e-21,9.80146406807172e-19,39.013062114295,down
PRX,-3.78310161991206,-20.6121654467721,2.0574196730564e-21,1.08965152966068e-18,38.788565217822,down
CLEC1A,-2.5365376123107,-20.6028299826522,2.08841522857382e-21,1.08965152966068e-18,38.7577349164442,down
TEK,-3.48526396850096,-20.5780286891536,2.17310817430528e-21,1.09023165483223e-18,38.7443615270404,down
ITLN2,-7.12063289019232,-20.8850861367003,1.33220091937281e-21,9.17641468994709e-19,38.6587154466334,down
C19orf59,-5.36209653569027,-20.5099473679841,2.42417827110222e-21,1.11282267696037e-18,38.6288592651095,down
DPEP2,-2.93273280796866,-20.497281378503,2.47407678870367e-21,1.11282267696037e-18,38.6017111199162,down
SGCG,-4.48376289575585,-20.8198701979928,1.47734367133463e-21,9.17641468994709e-19,38.5902440641678,down
PAEP,7.62391840474861,20.6644598812457,1.89230794657924e-21,1.07318542848607e-18,38.5850922439347,up
GJB2,4.34321900978339,20.5008047858312,2.46009122842604e-21,1.11282267696037e-18,38.5375291277977,up
ATP10B,6.31533877054547,20.4565096966991,2.64197252530497e-21,1.1487296540026e-18,38.169869329319,up
MYOC,-4.96982971882051,-20.2291320893113,3.81804286871062e-21,1.60653390901488e-18,37.7407631103402,down
CAV1,-4.33438961350258,-19.8958200449908,6.59201945582638e-21,2.60564550853937e-18,37.6234643100071,down
PTPRH,6.19206382422229,20.121061078439,4.5538527836971e-21,1.85626424095453e-18,37.5696178394743,up
UPK3B,-5.90022801353619,-19.695063256729,9.19364780735435e-21,3.42634119997515e-18,37.3072282943713,down
GRK5,-2.87873225748841,-19.6973293539736,9.15904638977864e-21,3.42634119997515e-18,37.2833128159494,down
TAL1,-2.74624704968947,-19.5449474942519,1.18119573037769e-20,4.1641938127153e-18,37.0619566357829,down
FERMT1,3.67186400784115,19.2363820602975,1.98717872843568e-20,6.32213642285733e-18,36.5366970256637,up
SH2D3C,-2.69867497495252,-19.2475106337905,1.9500108817444e-20,6.32213642285733e-18,36.5271276242584,down
KIF14,4.44037314939604,19.2873331714044,1.82274816199361e-20,6.09639154488323e-18,36.5212783934974,up
EPHA10,3.8562205602724,19.3299057171833,1.69608542652595e-20,5.82203639568538e-18,36.5072072129027,up
FRMD5,4.47603959177725,19.6074202843687,1.0640071716315e-20,3.85525265187815e-18,36.4781145424576,up
BUB1B,4.16789639881336,19.1683889851462,2.23060156317046e-20,6.9276111404751e-18,36.3767894462507,up
GPT2,3.16178472662371,19.0301863959461,2.82412433186291e-20,8.18619506329328e-18,36.1930609561557,up
FGF11,3.60874437395825,19.0550853974279,2.70631693740404e-20,8.02299957534053e-18,36.1565383733273,up
STX1A,3.56877228498351,18.9519271415715,3.22981159766411e-20,8.96375797445332e-18,36.0610198740318,up
S1PR1,-2.89156613608351,-18.9789581154822,3.08333047807088e-20,8.74325277303403e-18,36.0577546007964,down
IL3RA,-2.37981615398592,-18.9329588681905,3.33684527431071e-20,9.06787703293935e-18,36.0221602053867,down
RAMP3,-3.89096475168912,-18.9015915694631,3.52189072303962e-20,9.37541685537322e-18,35.9713308309211,down
ADPRH,-1.82471888100265,-18.8483781099438,3.86023727603312e-20,1.00705870057152e-17,35.833995128813,down
COL11A1,6.91731072469596,18.8290509010091,3.99122469891375e-20,1.02081441122806e-17,35.767893208082,up
SH3GL3,-5.32568290188666,-19.0932914362456,2.53525938456354e-20,7.69067986331322e-18,35.7563960689903,down
KL,-2.98576318261964,-18.7490781394158,4.58355735743033e-20,1.14976773404464e-17,35.7016848440489,down
IQGAP3,4.39456763068404,18.6052677268169,5.88575198624476e-20,1.42173609089957e-17,35.463136617816,up
SFXN1,1.75777393986125,18.6331629416303,5.60638709831345e-20,1.37980591151699e-17,35.4617995650456,up
STARD8,-2.20437134945104,-18.5783461254912,6.16890838077079e-20,1.46304074397771e-17,35.3557580270255,down
CRYAB,-2.79078381800196,-18.5536108073682,6.44137863831283e-20,1.50038112425272e-17,35.3495614060306,down
COL10A1,5.25649234058475,18.408266240461,8.31168315428794e-20,1.83758635702596e-17,35.1204758165306,up
ROBO4,-3.1045976359022,-18.4221174683234,8.11162199922303e-20,1.82427581651492e-17,35.0891095971307,down
SLCO1A2,-4.88635979709269,-18.3935747379712,8.5294151294349e-20,1.85429484913915e-17,35.015675633025,down
CALCRL,-3.06111572915786,-18.3753411615223,8.80779653920404e-20,1.87041619878179e-17,35.0052983613737,down
GRASP,-2.61982971353881,-18.3700470933411,8.89035605063408e-20,1.87041619878179e-17,35.0048061929576,down
ACVRL1,-2.82469006633687,-18.3476327083983,9.24878791942943e-20,1.91493951779425e-17,34.9473629739441,down
WNT3A,-5.54869396308827,-18.498831436296,7.08959322672423e-20,1.622397439463e-17,34.8907634615407,down
TGM1,-3.24506700798933,-18.2456461042732,1.10765753133296e-19,2.25754450604799e-17,34.7934454696712,down
