,logFC,t,P.Value,adj.P.Val,B,direction
STX11,-3.60438403238164,-29.9819166251982,2.2220587088825e-95,2.89845337986633e-91,206.833448176052,down
SH2D3C,-2.77716844456111,-24.9875402225912,1.70877460791815e-77,1.11446279928421e-73,166.064807769499,down
FGD5,-2.72372763604671,-24.8468226359455,5.68842818829804e-77,2.47332857627199e-73,164.862791608502,down
ACVRL1,-2.83837352716856,-24.3651920049431,3.54572890413423e-75,1.15626219563817e-71,160.759447761778,down
PYCR1,3.68994408387596,23.5954632466078,2.75309925694247e-72,5.98523778459294e-69,154.128336978991,up
GIMAP8,-2.91457478809054,-23.5966005191115,2.72604193375113e-72,5.98523778459294e-69,154.119029528888,down
KANK3,-3.17983138420484,-23.4211279652001,1.25313638382628e-71,2.33513014151858e-68,152.40379681138,down
LDB2,-2.97297021523863,-23.1251260175139,1.65362974120197e-70,2.69624329302981e-67,150.027695475617,down
LIMS2,-3.24673574824742,-23.0319795327065,3.7305156264878e-70,5.40676064798965e-67,149.22620227324,down
GIMAP6,-2.54223931180064,-22.7526638873626,4.29919659231932e-69,5.60787203502133e-66,146.801225313457,down
RTKN2,-4.62085847973179,-22.7377574548646,4.89926020093575e-69,5.80963182372781e-66,146.647157712458,down
S1PR1,-3.07132235166098,-22.6278045864693,1.28513286568887e-68,1.3969394250038e-65,145.711057018477,down
ROBO4,-3.25981412227666,-22.196744186599,5.69289328439129e-67,5.71216153858461e-64,141.933047660403,down
TEK,-3.65364309824777,-22.1151728653447,1.16858565362437e-66,1.08878794756259e-63,141.148136087758,down
TRPV2,-2.32422442649326,-21.8229377578744,1.54362834590617e-65,1.3423392096e-62,138.644575423821,down
SPOCK2,-4.00319149171667,-21.5183683717142,2.29010360856867e-64,1.76281855892701e-61,135.943121929788,down
CDH5,-2.9097780233122,-21.518007253402,2.29744829053658e-64,1.76281855892701e-61,135.939175360951,down
HSPA12B,-3.2567108266501,-21.3847388801291,7.4942862069936e-64,5.43085940466803e-61,134.667329143567,down
C10orf54,-2.03858481857384,-21.2409420251078,2.68789527626961e-63,1.8453108412453e-60,133.472604836131,down
STARD8,-2.5912307583678,-20.975387489926,2.8537819319633e-62,1.86123657602646e-59,131.137863087424,down
FGR,-2.66919508015761,-20.7131604375866,2.95514858062264e-61,1.8355694326496e-58,128.830805731205,down
CLEC3B,-4.48574735733552,-20.6891695567685,3.66058285255715e-61,2.17039285130707e-58,128.61873669626,down
RAMP2,-3.0230567169522,-20.6347201711664,5.95131891242147e-61,3.37517408233155e-58,128.12857996857,down
HPS5,-1.3647550941885,-20.6167461991254,6.98720282225988e-61,3.79754473389824e-58,127.932295050248,down
DPEP2,-2.97091531963229,-20.5337642522835,1.46607987874068e-60,7.64941837531736e-58,126.945042979078,down
GYPC,-2.1094026199939,-20.4715182763764,2.55683164205136e-60,1.28274276688146e-57,126.681262651064,down
OTUD1,-2.04035421161369,-20.4050297898747,4.63252749172351e-60,2.23802550377931e-57,126.083688630935,down
PNPLA6,-1.73659812160922,-20.3507738273057,7.52535943969886e-60,3.50574244755114e-57,125.547663872259,down
EDNRB,-4.01368841409521,-20.2818561543324,1.39405639928489e-59,6.06135722409072e-57,124.995399955646,down
CAV1,-4.33311271258792,-20.2835851743792,1.37265534470749e-59,6.06135722409072e-57,124.967436191659,down
PDLIM2,-2.15959702724032,-20.2417956798276,1.99513440777337e-59,8.39501071451478e-57,124.601531983928,down
ECSCR,-2.65191854242592,-20.2229138676016,2.36247889865547e-59,9.63005461064435e-57,124.21391453135,down
CALCRL,-3.02619555370164,-20.0902896186279,7.74685926757436e-59,3.06212219049212e-56,123.257154069208,down
GPR146,-2.56729183062607,-19.8502399308815,6.66241269694087e-58,2.5560150358499e-55,121.075905440456,down
ARHGEF15,-2.92610241495422,-19.8257239924978,8.30116707439556e-58,3.09372638052616e-55,120.903611438544,down
RASGRP4,-2.74096419654635,-19.8092833143022,9.62042974732402e-58,3.48580237844707e-55,120.374146309937,down
TLR4,-2.15212703234756,-19.7227908566125,2.09059474706187e-57,7.37019402180406e-55,119.976520416549,down
DOK2,-2.64969407743146,-19.6714594495008,3.31424895621336e-57,1.13765956275913e-54,119.533342701545,down
