,logFC,t,P.Value,adj.P.Val,B,direction
ACVRL1,-3.59226141025575,-35.2131869802938,1.55001296319969e-115,2.02183690919768e-111,253.425869112229,down
SH2D3C,-3.52602242932721,-33.2662479455663,5.15003118833618e-109,3.35885034103286e-105,238.397258885537,down
KANK3,-4.03384138457507,-33.1842683658181,9.79281579670099e-109,4.25791630840559e-105,237.14550701504,down
LDB2,-3.78047912705524,-33.0043694249437,4.02392842001683e-108,1.31220305776749e-104,236.22413782763,down
SLC2A1,5.88061734826407,32.2401354973119,1.70431387291302e-105,4.44621403165549e-102,230.362852769908,up
S1PR1,-4.04434713436956,-32.1005735179749,5.18445573438898e-105,1.12710067665617e-101,229.208448195495,down
ESAM,-3.43377624363152,-31.8918922165879,2.74868421143305e-104,5.12197669341897e-101,227.580846752356,down
TPX2,5.31905233786503,31.7697804545876,7.31355495611075e-104,1.19247513559386e-100,226.548571272546,up
CLEC3B,-5.64190139902832,-31.2711987229573,4.05374367330287e-102,5.87522583050695e-99,222.36512336629,down
ROBO4,-3.94543237657833,-31.0631250092571,2.1856292032023e-101,2.85093473265708e-98,220.859228589308,down
CDH5,-3.83593366935293,-30.862312006683,1.11686261624829e-100,1.32439599694024e-97,219.296948582511,down
INMT,-5.63411774904723,-30.7123968394536,3.78702194347115e-100,4.11649285255313e-97,217.846746622582,down
TEK,-4.52034713875785,-30.6972519339793,4.28487547548484e-100,4.29937813094033e-97,217.682294794631,down
SCARF1,-2.89079471647199,-30.2950844065873,1.15053248976085e-98,1.07196755688861e-95,214.623412754485,down
DLC1,-4.31142231868922,-30.2477565613262,1.69683283964773e-98,1.47556583735767e-95,214.278283598752,down
STARD8,-3.35291097613822,-29.8131047742441,6.09529910239889e-97,4.9691925932307e-94,210.493252759786,down
GNG11,-3.63714023492327,-29.6817688031524,1.80707228926521e-96,1.3865559377162e-93,209.618668310494,down
PERP,3.56333426601667,29.6027969443425,3.47715016620929e-96,2.46472489462855e-93,208.973297958413,up
RAMP2,-3.52371383683976,-29.5989409186081,3.59013899094928e-96,2.46472489462855e-93,208.883496492443,down
EDNRB,-4.83019099745117,-29.4961092515965,8.4287622363181e-96,5.49723873052666e-93,207.997885889344,down
ARHGEF15,-3.78244283193034,-29.0936306737198,2.40958454630904e-94,1.49669622962167e-91,204.504105763934,down
PRC1,4.01609086267565,28.9844697207842,6.00322450585744e-94,3.55936638429111e-91,203.833968177938,up
SLC39A8,-4.40513024317993,-28.9773742659411,6.37052667575756e-94,3.61291956341659e-91,203.76862791878,down
GPR116,-4.43908640045726,-28.745699806078,4.4437113912278e-93,2.41515714113231e-90,201.835632659936,down
GIMAP6,-3.38614016741142,-28.7057412847569,6.21628735048952e-93,3.24341008799141e-90,201.501488112861,down
MYCT1,-3.44199714115912,-28.6243060289124,1.23282943795529e-92,6.18501045718799e-90,200.569854110287,down
PTPRB,-4.0625348766613,-28.4635974461811,4.77290867790025e-92,2.30584521461226e-89,199.465078707303,down
CLEC14A,-3.39777823310442,-28.3826446135561,9.44995580093233e-92,4.40232940954862e-89,198.780236453157,down
TRPV2,-2.97735543827861,-28.3664767152348,1.08322199495895e-91,4.8722578283602e-89,198.653554534173,down
PVRL1,4.72451598068733,28.3621869524879,1.12318254597634e-91,4.88359770990513e-89,198.607787405868,up
SNRK,-1.78216393626111,-28.3305067396859,1.46780655348198e-91,6.17615118826416e-89,198.33699104293,down
KLF2,-3.78882084961316,-28.2068432220818,4.17669335768248e-91,1.70252462992532e-88,197.266239263961,down
NOSTRIN,-4.55636049265055,-27.9700092693637,3.11074126177192e-90,1.22959118238039e-87,194.327756876931,down
GIMAP8,-3.6920390273678,-27.8320896702185,1.00470744988847e-89,3.85453058127801e-87,194.096615764387,down
CENPF,4.74968253026557,27.6708395114916,3.96828237290605e-89,1.4789221506339e-86,192.761175851743,up
CD302,-3.09390325287393,-27.5607785090193,1.01521781138025e-88,3.67847253656777e-86,191.821105855246,down
TOP2A,4.88480158731673,27.5072461174749,1.60402376073839e-88,5.65483403650582e-86,191.371209380462,up
KIF11,4.04855479338298,27.4615200922729,2.3714335563619e-88,8.14025771294333e-86,190.964719711518,up
KIF23,4.230974582961,27.4425207679056,2.78994205214837e-88,9.33128310980086e-86,190.75931717574,up
MCM4,3.24329159462647,27.3434438329381,6.51591878535826e-88,2.12484111590533e-85,189.953901126675,up
HSD17B6,-4.65374665312237,-27.2651718000461,1.27455001793278e-87,4.05493425217444e-85,189.108861467752,down
CCNB1,3.85490049269845,27.1965804518881,2.29592505043786e-87,7.13048722807416e-85,188.717872147231,up
CSRNP1,-3.5106428373275,-27.1580941453539,3.19506273313723e-87,9.69218564907955e-85,188.375915420163,down
SLC9A3R2,-2.70405413884824,-27.0013195050797,1.22997517368197e-86,3.64631731034265e-84,187.016953915718,down
CLIC5,-6.34938246954289,-26.9592509695695,1.76684308223732e-86,5.12148914771192e-84,186.500164049048,down
OSCAR,-3.70155088870055,-26.7993869538166,7.01088778027517e-86,1.98804391751977e-83,185.256823322695,down
ICAM2,-3.15628139995321,-26.7917772653,7.48682871991635e-86,2.07783391111891e-83,185.240692973884,down
ARRB1,-3.57353762165854,-26.729822903713,1.27832648194068e-85,3.4738522146738e-83,184.675298347389,down
CDCA5,4.58157691019519,26.5645528171488,5.33807895346134e-85,1.42101840548877e-82,183.226807759394,up
SHE,-4.03338951966845,-26.5403099802411,6.58497421450751e-85,1.67927302220012e-82,182.871854472304,down
TCF21,-5.32524193424433,-26.5471153143733,6.20809811622351e-85,1.61956863656039e-82,182.65935203786,down
ECSCR,-3.75358359641127,-26.5384064458033,6.69443400447764e-85,1.67927302220012e-82,182.451303412067,down
RHOJ,-3.02822409138499,-26.4691458140152,1.21996440553897e-84,2.94689179737969e-82,182.299409407225,down
RASGRP4,-3.60464133706375,-26.4789383902491,1.12068214587152e-84,2.75814677561286e-82,181.746216575974,down
DSP,4.36196653900179,26.3557125759075,3.26376686512571e-84,7.74046817976359e-82,181.446631819147,up
AK1,-2.66175542364859,-26.3325007539107,3.99255167404779e-84,9.29979357790702e-82,181.264206199738,down
CDCA8,4.44070885859736,26.2144193253314,1.11415192505904e-83,2.5496487211351e-81,180.154904830263,up
SECISBP2L,-2.26891149823981,-26.1587778371026,1.80799942792937e-83,4.0661283686053e-81,179.732100775287,down
HYAL2,-1.95817874509559,-26.1195406035391,2.54422806088523e-83,5.62490014003169e-81,179.367400791846,down
F8,-2.98763631682205,-26.1027103703903,2.94587926377551e-83,6.40434151944796e-81,179.285186985562,down
FLI1,-2.89261063109299,-25.9452117284439,1.16307532321225e-82,2.48707451081649e-80,177.915953597116,down
FAM105A,-3.3300898532658,-25.8885610041598,1.90729774169349e-82,4.0127083455887e-80,177.421172814248,down
GLIPR2,-3.02749343244875,-25.8753588083975,2.14043185516534e-82,4.43171319345661e-80,177.284932832934,down
CD93,-3.41797423576118,-25.8413803857936,2.88030285227457e-82,5.8704172507921e-80,176.959889751042,down
RAMP3,-3.88921887266298,-25.7684933295028,5.44762742473193e-82,1.09321310966467e-79,176.363994567336,down
TENC1,-2.75128386224859,-25.7355133829255,7.26982084267287e-82,1.43678095563371e-79,176.056921840078,down
NPR1,-4.57794245755512,-25.7172513117455,8.52977982443706e-82,1.66063355268592e-79,175.722709060061,down
NUSAP1,3.78181841349877,25.63850495353,1.699945346946e-81,3.26089516258288e-79,175.241611993081,up
HSPA12B,-3.57149488117752,-25.5075604792982,5.359328970813e-81,1.01314618978674e-78,173.977472834725,down
AOC3,-4.33917941212656,-25.4667271613952,7.66975857431471e-81,1.40907508230086e-78,173.726849545953,down
ANLN,4.94137614778558,25.463151120317,7.91441081304371e-81,1.43382742562975e-78,173.696474490325,up
TIE1,-3.20408011398468,-25.3286633646502,2.58054219120685e-80,4.54872869487867e-78,172.529947748387,down
USHBP1,-3.93451155578731,-25.4775711314124,6.97321279198713e-81,1.299408395124e-78,172.38549672591,down
ARHGAP6,-3.98638546557164,-25.3804327551586,1.63691100733932e-80,2.92491331229235e-78,172.296137400496,down
ST6GALNAC6,-1.97309328508111,-25.29404308699,3.49930135853816e-80,6.08598492276956e-78,172.157447042012,down
ALDH3B1,-4.13178523678836,-25.261117724299,4.67549871334006e-80,8.02463226536944e-78,171.934027133224,down
CDK1,3.6851806619911,25.2410634148529,5.57832469473656e-80,9.44982692443425e-78,171.755055420287,up
LYVE1,-4.70269142684928,-25.2381981937813,5.72084563855854e-80,9.56701416786636e-78,171.60444525265,down
HMGA1,2.73108225483886,25.211610986777,7.23013398493718e-80,1.19379579366482e-77,171.440504592438,up
FOXM1,5.39877898970734,25.1472098904564,1.27524055391402e-79,2.05360960311784e-77,170.930221197963,up
PLK1,4.87287966760534,25.1513688011816,1.22933794312572e-79,2.00443551626649e-77,170.906079843035,up
VSIG4,-4.11944084654925,-25.129206701524,1.49458208553955e-79,2.34883478599734e-77,170.739255439063,down
C1orf162,-3.23447052356329,-25.1192279791987,1.63204114870139e-79,2.53432675519773e-77,170.686660902363,down
C19orf59,-7.08291794768388,-25.1442969966193,1.30840896630689e-79,2.08132762884232e-77,170.389602155948,down
KANK2,-2.90994950774702,-25.0754314964836,2.40156501332286e-79,3.68541341573923e-77,170.258183530694,down
IL3RA,-3.02868893978515,-25.0727653519539,2.45872474289919e-79,3.72925645888106e-77,170.211519528379,down
LIMS2,-3.61602306270033,-25.0216346829368,3.86086470373943e-79,5.76131426357792e-77,169.833047190348,down
DOK2,-3.27721210671244,-25.0208759824336,3.88681121737854e-79,5.76131426357792e-77,169.823014528141,down
MCM2,3.56081453215533,25.0176620450181,3.99867405087776e-79,5.86052857524151e-77,169.756296228381,up
MKI67,4.17381047239205,24.9776564006886,5.69299959180271e-79,8.07168333429072e-77,169.42092200316,up
CDC20,5.28879438901002,24.978311654716,5.66014565782032e-79,8.07168333429072e-77,169.402322456591,up
KIF4A,5.43265842049501,24.9959237357991,4.84479330729842e-79,7.02172043337785e-77,169.383497012991,up
JAM2,-3.4558995274906,-24.9347906026673,8.31411945785072e-79,1.16612230331403e-76,168.862208897605,down
CCNB2,4.95843775078227,24.8856471581552,1.28375267647586e-78,1.78141169276076e-76,168.550161302409,up
FANCI,3.24940976849417,24.8681494543284,1.49858957404271e-78,2.05764235829611e-76,168.455751802376,up
CD52,-3.95738733517079,-24.7382898850647,4.72988668107887e-78,6.42673352791591e-76,167.318205125412,down
ARHGAP31,-3.16351646915035,-24.7270693231086,5.22416772512944e-78,7.0251591553184e-76,167.214561532408,down
AURKA,3.70207606311461,24.6661236373415,8.96557776364677e-78,1.18128279140413e-75,166.69579716521,up
GIMAP7,-3.31933213083105,-24.667572725468,8.85114108166584e-78,1.17810494152295e-75,166.692811709702,down
BUB1,3.97337669401909,24.6508202891292,1.0268386199082e-77,1.32614682753293e-75,166.553377840603,up
TNFSF13,-2.66573247364338,-24.6484941788391,1.04823715078811e-77,1.34051033283139e-75,166.50430530142,down
NCAPG,4.31809218678099,24.643395015088,1.09672105018906e-77,1.38889605618118e-75,166.428449390966,up
DPEP2,-3.87935294808857,-24.6568634731393,9.73267701616413e-78,1.26953038998845e-75,166.083006297556,down
RACGAP1,2.51739985236661,24.5381458030894,2.79038105739349e-77,3.4997817800616e-75,165.520291830411,up
RTKN2,-4.32737666293192,-24.5226401017352,3.20224533099856e-77,3.94057434882502e-75,165.429081901765,down
SPOCK2,-4.3050312069085,-24.525069483494,3.13390647745294e-77,3.89320724684725e-75,165.397857350983,down
MYBL2,5.59680448292552,24.4508119893191,6.06131610691342e-77,7.38914086902604e-75,164.773479284887,up
GMFG,-2.87304400650602,-24.4262202640693,7.54212356365747e-77,9.10920923743964e-75,164.568728697566,down
BUB1B,5.269376838656,24.3410083183746,1.60925604249351e-76,1.92579227690691e-74,163.613951910863,up
MAD2L1,3.97192453014114,24.3051646825863,2.21393903842284e-76,2.62532916519887e-74,163.496648344281,up
SYNE1,-3.65499392573706,-24.2785146483264,2.80677564271221e-76,3.29834067419262e-74,163.258057230243,down
MS4A7,-3.51510734742716,-24.2660162164467,3.13720793302342e-76,3.65372681056763e-74,163.123606741615,down
HSPB6,-4.48553858610546,-24.2360668221719,4.09633063273091e-76,4.7285430772869e-74,162.843170097921,down
GPR146,-2.97575294193911,-24.1467460260268,9.08110614158077e-76,1.03906972377877e-73,162.005517592081,down
FBLN5,-3.49298105196301,-24.1222622383378,1.12971886776176e-75,1.28139590531169e-73,161.850563468396,down
GRK5,-2.92576890563481,-24.1195667397782,1.15721021963557e-75,1.30126294007986e-73,161.84987585556,down
