,logFC,t,P.Value,adj.P.Val,B,direction
TFAP2A,6.23906421516642,40.8117558936752,8.77571386298675e-133,1.14470411628799e-128,292.992697375535,up
KIF4A,5.44747436254242,40.2592405843468,4.03665607481689e-131,2.63270709199558e-127,289.179902864303,up
TTK,5.58464471952415,39.2587587946973,4.52092247733963e-128,1.96569709314727e-124,282.186575724522,up
KIF2C,5.14987137667021,39.0081465033578,2.67212505310149e-127,8.71379979816397e-124,280.41660017218,up
HJURP,5.47331209704071,38.8943590654685,6.00136374037872e-127,1.56563577259e-123,279.6105368551,up
CDCA8,4.40962422190386,38.7223864612914,2.04441674099208e-126,4.44456199491678e-123,278.389407017336,up
TPX2,5.32783002241726,38.6768481971525,2.82994573673923e-126,5.27340174143236e-123,278.065469529019,up
TROAP,5.65665703071326,38.5715370089932,6.00811643404777e-126,9.79623384571489e-123,277.315399366212,up
BUB1B,5.31074421152567,38.4617811869663,1.31855252885695e-125,1.91102213182334e-122,276.532278899959,up
CDCA5,4.56279905309023,38.3281294018234,3.44036894466474e-125,4.48761725142069e-122,275.576733280539,up
UBE2C,5.42759971994048,38.092320513985,1.87799699417891e-124,2.22696298109724e-121,273.885645403471,up
EXO1,5.27792247849909,37.9858299532296,4.05037520057944e-124,4.20862862371164e-121,273.119787201185,up
NEK2,5.31473982207144,37.980992230332,4.19443208434923e-124,4.20862862371164e-121,273.084963197312,up
KIF23,4.23401673732001,37.8372420722187,1.18638204846322e-123,1.10536910286816e-120,272.048913236717,up
CENPA,5.63366811599895,37.7948952069188,1.6123084018023e-123,1.40206338620728e-120,271.743236056569,up
CCNB2,4.94882342252425,37.4590926561953,1.84994533286187e-122,1.50816793261564e-119,269.311667375044,up
PLK1,4.83797378337549,37.2951839672889,6.11691252926923e-122,4.61478905611734e-119,268.119872935896,up
RAD54L,5.20949222299949,37.2896746920807,6.36815417127508e-122,4.61478905611734e-119,268.079758292857,up
DEPDC1,5.58673319440059,37.2720141636904,7.24539763345454e-122,4.97415614372532e-119,267.951142153254,up
NCAPH,4.83745840122391,36.8197542727556,1.99946225813356e-120,1.30404928475471e-117,264.644629915128,up
CDC20,5.24876012602513,36.6166615309537,8.94166752211063e-120,5.55405291230529e-117,263.151730478168,up
NUF2,5.1929848259815,36.2638174577616,1.22101717182192e-118,7.23952181329321e-116,260.546083810221,up
KIF14,5.40240843716663,35.9053363827053,1.76554700745981e-117,1.00129544196982e-114,257.88320904563,up
CKAP2L,4.77822376898229,35.6171829769128,1.52884794036272e-116,8.30928855587139e-114,255.731294372415,up
CDC45,5.9746003336337,35.2819516568924,1.90794487797139e-115,9.9548931953035e-113,253.214911946088,up
BIRC5,5.8462632945006,35.2070326368697,3.36022693452429e-115,1.68580000515134e-112,252.650638509172,up
KIF18B,5.54443150561842,35.0212821119479,1.37117508486494e-114,6.62429918776971e-112,251.248604867233,up
CDCA3,4.95607301761243,34.892872487353,3.63384497598045e-114,1.69285263809603e-111,250.276872299697,up
KIF11,4.03886486714625,34.7255887336289,1.29749238577221e-113,5.83603126896991e-111,249.007885864693,up
UBE2T,4.14602692400852,34.59335219474,3.55715644128166e-113,1.54665162066927e-110,248.002295095245,up
GINS1,4.52006419428586,34.5716094858426,4.19961799339137e-113,1.75874900320025e-110,247.836744279211,up
MYBL2,5.55148738123529,34.5680722239747,4.31462496951916e-113,1.75874900320025e-110,247.809805692112,up
PRC1,4.02113605245551,34.4599344191777,9.86202066473059e-113,3.89818780456806e-110,246.985511297315,up
SKA3,4.76772098215491,34.4264861547377,1.27392298037035e-112,4.88736804586791e-110,246.730251941651,up
KANK3,-4.03139429256497,-34.2229495822186,6.06692244840399e-112,2.26105532619947e-109,245.173954910837,down
POLQ,5.3270051164062,34.1515090081845,1.05053853859176e-111,3.8064513048308e-109,244.626471804271,up
E2F7,5.34149689987211,33.917424505886,6.37725965766692e-111,2.24824256688128e-108,242.828091420846,up
GTSE1,4.84515564906093,33.7243638817878,2.83676490725939e-110,9.7375688027083e-108,241.339709829123,up
ASPM,5.03656185977974,33.7040779496437,3.31932079376554e-110,1.1101851393302e-107,241.18304573968,up
ESPL1,4.51354602289846,33.6186870238503,6.43400383440616e-110,2.09812865039985e-107,240.523022209298,up
CENPF,4.78151994191993,33.595689874558,7.69057678894653e-110,2.44672886914679e-107,240.345110611751,up
NCAPG,4.33272834941484,33.5105449458114,1.48957520567126e-109,4.62619499589901e-107,239.685829617064,up
CDC6,4.77730031641884,33.3885568536828,3.84666104354776e-109,1.16688015469853e-106,238.739680971516,up
FOXM1,5.36834816172359,33.3780007052597,4.17614762398105e-109,1.23803794561838e-106,238.65771865695,up
ANLN,4.96689825821227,33.3528495096815,5.07972474459778e-109,1.47244287930074e-106,238.46237780949,up
SLC2A1,5.88369642149725,33.2618769650932,1.03230224359942e-108,2.92725010119801e-106,237.75515960151,up
MCM10,4.99023977969711,33.067561170864,4.711117332674e-108,1.30748541462553e-105,236.241061209668,up
DLGAP5,5.48180928376681,33.0538944073026,5.24291401484952e-108,1.42476188353536e-105,236.134391346801,up
CCNB1,3.83748001387887,33.001703751407,7.88941807263019e-108,2.10019529264057e-105,235.726823585466,up
UHRF1,4.82222085582418,32.8366604600835,2.87900943398841e-107,7.51075981138895e-105,234.435704370249,up
CCNA2,4.32330632844706,32.8035985152803,3.7328661100013e-107,9.54735402722685e-105,234.176650371295,up
STIL,3.61732090740451,32.6828138557727,9.65241760172425e-107,2.42127183070944e-104,233.229079597019,up
MAD2L1,3.911334092635,32.57536953144,2.25075181973868e-106,5.53939749748515e-104,232.38461694232,up
C16orf59,4.76937867211299,32.4794543678683,4.79839261347065e-106,1.15907839352058e-103,231.629536042229,up
AURKA,3.68634761883082,32.4548731112309,5.82684666246881e-106,1.38191614300442e-103,231.435835834972,up
SKA1,4.91301716190793,32.302941929205,1.93837287050956e-105,4.5150242362369e-103,230.236923943765,up
CDC25C,5.27648992917881,32.2187557317387,3.77768110793133e-105,8.64492497751863e-103,229.571341533062,up
DEPDC1B,4.92705884080524,32.104987177221,9.32087036346127e-105,2.09623160381015e-102,228.670455011959,up
