"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"109582","Hemostasis","67/434","354/4896",5.0687754805829e-10,3.94857609937408e-07,3.53213617699566e-07,"ADRA2A/APBB1IP/ATP2A3/CABLES1/CD2/CD47/CD48/CD63/CD84/CEACAM6/CLU/DOCK8/DOCK9/EHD1/F13A1/F5/FGA/FGG/FYN/GATA5/GATA6/GNA14/GNAI2/GNAQ/GNG2/GUCY1A2/GUCY1A3/HGF/IGF1/INPP5D/ITGA1/ITGA10/ITGA4/ITGAM/ITGB2/ITPR1/JAK2/LAT/LCP2/MGLL/MRVI1/NFE2/PDE3B/PIK3CG/PIK3R1/PIK3R6/PLCG2/PRKAR2B/PRKCB/PRKCD/PRKCZ/PTPN6/RAPGEF3/RHOA/RHOB/SELL/SERPINA1/SERPIND1/SERPINF2/SH2B3/SLC8A1/TFPI/THBS1/TRPC6/TTN/VAV1/ZFPM2",67
"198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","20/434","50/4896",2.24831367182965e-09,8.7571817517765e-07,7.83359816184858e-07,"C3/CD226/CD3D/CD3E/CD3G/CD40LG/CD81/CD96/FCGR2B/HLA-B/HLA-C/HLA-F/ICAM1/ICAM3/ITGA4/ITGB2/ITGB7/LILRB1/LILRB2/SELL",20
"372790","Signaling by GPCR","57/434","315/4896",6.38107439459405e-08,1.65695231779626e-05,1.48220043832325e-05,"ADCY6/ADCY9/ADRA1B/ADRA2A/AKAP13/ARHGEF17/ARHGEF3/C3/C5/CCL2/CCL3/CCR2/CCR4/CCR5/CCR6/CCR7/CD55/CXCL16/CXCL5/CXCR5/CYSLTR1/EDNRA/FGD2/FGD4/FPR3/FZD5/GNA14/GNAI2/GNAQ/GNG2/GPR132/GPR39/ITPR1/MGLL/P2RY10/PDE1C/PDE3B/PDE4A/PDE4B/PDE4D/PDE7B/PIK3CG/PIK3R1/PIK3R6/PLCB2/PRKAR2B/PRKCD/PTAFR/PTGER2/RHOA/RHOB/RPS6KA1/RPS6KA2/SCTR/TRPC6/VAV1/WNT2",57
"76002","Platelet activation, signaling and aggregation","35/434","156/4896",1.43669528821584e-07,2.79796407380036e-05,2.50287442315497e-05,"ADRA2A/APBB1IP/CD63/CLU/F13A1/F5/FGA/FGG/FYN/GNA14/GNAI2/GNAQ/GNG2/HGF/IGF1/ITPR1/LAT/LCP2/MGLL/PIK3CG/PIK3R1/PIK3R6/PLCG2/PRKCB/PRKCD/PRKCZ/RAPGEF3/RHOA/RHOB/SERPINA1/SERPINF2/THBS1/TRPC6/TTN/VAV1",35
"388396","GPCR downstream signaling","47/434","254/4896",5.22814751105339e-07,8.14545382222117e-05,7.28638663645756e-05,"ADCY6/ADCY9/ADRA1B/ADRA2A/AKAP13/ARHGEF17/ARHGEF3/C3/C5/CCR2/CCR4/CCR5/CCR6/CCR7/CXCL16/CXCL5/CXCR5/CYSLTR1/EDNRA/FGD2/FGD4/FPR3/GNA14/GNAI2/GNAQ/GNG2/GPR132/ITPR1/MGLL/P2RY10/PDE3B/PDE4A/PDE4B/PDE4D/PDE7B/PIK3CG/PIK3R1/PIK3R6/PLCB2/PRKCD/PTAFR/PTGER2/RHOA/RHOB/SCTR/TRPC6/VAV1",47
"977606","Regulation of Complement cascade","9/434","15/4896",9.62008278626675e-07,0.000124900741508363,0.000111727979026466,"C3/C5/C6/C7/CD55/CD59/CFH/CFI/CR1",9
"114604","GPVI-mediated activation cascade","11/434","26/4896",5.30261829338194e-06,0.000590105664363505,0.000527869670709601,"FYN/LAT/LCP2/PIK3CG/PIK3R1/PIK3R6/PLCG2/PRKCZ/RHOA/RHOB/VAV1",11
"1280218","Adaptive Immune System","56/434","362/4896",1.53079782351064e-05,0.00149061438064348,0.00133340547258427,"BLK/C3/CD226/CD3D/CD3E/CD3G/CD40LG/CD74/CD79B/CD80/CD81/CD96/CTSD/CTSS/CYBA/ERAP2/ERBB4/FCGR2B/FGF7/FGF9/FYN/GRAP2/HLA-B/HLA-C/HLA-DQB2/HLA-DRB5/HLA-F/ICAM1/ICAM3/INPP5D/ITGA4/ITGB2/ITGB7/ITK/ITPR1/LAT/LCP2/LILRB1/LILRB2/PAG1/PIK3AP1/PIK3R1/PLCG2/PRKCB/PTPN6/PTPRC/RAP1GAP/RAPGEF3/RASGRP3/SELL/SH3KBP1/SIPA1/TNFRSF14/TRAT1/VAV1/ZAP70",56
"168249","Innate Immune System","67/434","461/4896",1.77391000634966e-05,0.00153541766105154,0.00137348353708009,"ADCY6/ADCY9/BIRC3/C3/C5/C6/C7/CASP10/CCR2/CCR6/CD14/CD3G/CD55/CD59/CD80/CFH/CFI/CLEC7A/CR1/CTSS/CYFIP2/DTX4/DUSP6/ERBB4/FCGR2A/FCGR2C/FGF7/FGF9/FYN/GRAP2/HCK/HLA-B/HLA-C/ICAM3/ITGAM/ITGB2/ITK/ITPR1/JUN/LAT/LCP2/LGALS3/LRRFIP1/MEF2C/MYD88/MYO1C/NFATC2/NLRP3/NOD1/PDE1C/PIK3R1/PLCG2/PRKAR2B/PRKCD/RIPK3/RNF125/RPS6KA1/RPS6KA2/TEC/TLR2/TLR3/TMEM173/TRAT1/TXNIP/UNC93B1/VAV1/WIPF1",67
"202433","Generation of second messenger molecules","10/434","25/4896",2.6085205580115e-05,0.00203203751469096,0.00181772695726696,"CD3D/CD3E/CD3G/GRAP2/HLA-DQB2/HLA-DRB5/ITK/LAT/LCP2/ZAP70",10
